Chemical_Formula,Ag,Au,Mixing_Parameter,BCM_CE_eV,SE_Energy_eV,BCM_EE_eV,
Ag242Au67,242,67,0.204134367,-2.897255479,-50.638799,-0.04568941,50.638799
Ag243Au66,243,66,0.209302326,-2.894381191,-50.693514,-0.04534548,50.693514
Ag244Au65,244,65,0.214470284,-2.891506904,-50.748441,-0.045001551,50.748441
Ag245Au64,245,64,0.219638243,-2.888632616,-50.803135,-0.044657621,50.803135
Ag246Au63,246,63,0.224806202,-2.885758329,-50.858463,-0.044313691,50.858463
Ag247Au62,247,62,0.22997416,-2.882884042,-50.913418,-0.043969762,50.913418
Ag248Au61,248,61,0.235142119,-2.880009754,-50.969345,-0.043625832,50.969345
Ag249Au60,249,60,0.240310078,-2.877135467,-51.024983,-0.043281902,51.024983
Ag250Au59,250,59,0.250645995,-2.873830451,-51.069525,-0.042507244,51.069525
Ag251Au58,251,58,0.258397933,-2.870825702,-51.131099,-0.042032853,51.131099
Ag252Au57,252,57,0.266149871,-2.867820953,-51.193408,-0.041558462,51.193408
Ag253Au56,253,56,0.273901809,-2.864816205,-51.25579369,-0.041084071,51.25579369
Ag254Au55,254,55,0.281653747,-2.861811456,-51.318276,-0.04060968,51.318276
Ag255Au54,255,54,0.289405685,-2.858806708,-51.38008,-0.04013529,51.38008
Ag256Au53,256,53,0.297157623,-2.855801959,-51.443042,-0.039660899,51.443042
Ag257Au52,257,52,0.304909561,-2.85279721,-51.505233,-0.039186508,51.505233
Ag258Au51,258,51,0.312661499,-2.849792462,-51.568061,-0.038712117,51.568061
Ag259Au50,259,50,0.320413437,-2.846787713,-51.630613,-0.038237726,51.630613
Ag260Au49,260,49,0.328165375,-2.843782965,-51.69362,-0.037763335,51.69362
Ag261Au48,261,48,0.335917313,-2.840778216,-51.75676485,-0.037288945,51.75676485
Ag262Au47,262,47,0.34625323,-2.837643006,-51.82398,-0.036684093,51.82398
Ag263Au46,263,46,0.354005168,-2.834638258,-51.904423,-0.036209702,51.904423
Ag264Au45,264,45,0.361757106,-2.831633509,-51.985965,-0.035735311,51.985965
Ag265Au44,265,44,0.374677003,-2.828367838,-52.058991,-0.034999998,52.058991
Ag266Au43,266,43,0.390180879,-2.825141513,-52.130653,-0.03430403,52.130653
Ag267Au42,267,42,0.403100775,-2.821875842,-52.203767,-0.033568717,52.203767
Ag268Au41,268,41,0.416020672,-2.818610171,-52.277065,-0.032833403,52.277065
Ag269Au40,269,40,0.428940568,-2.8153445,-52.350883,-0.03209809,52.350883
Ag270Au39,270,39,0.441860465,-2.812078829,-52.424086,-0.031362777,52.424086
Ag271Au38,271,38,0.454780362,-2.808813158,-52.498093,-0.030627464,52.498093
Ag272Au37,272,37,0.467700258,-2.805547487,-52.570873,-0.029892151,52.570873
Ag273Au36,273,36,0.480620155,-2.802281816,-52.645844,-0.029156838,52.645844
Ag274Au35,274,35,0.493540052,-2.799016145,-52.719804,-0.028421524,52.719804
Ag275Au34,275,34,0.506459948,-2.795750474,-52.79456,-0.027686211,52.79456
Ag276Au33,276,33,0.519379845,-2.792484803,-52.867009,-0.026950898,52.867009
Ag277Au32,277,32,0.532299742,-2.789219132,-52.943217,-0.026215585,52.943217
Ag278Au31,278,31,0.545219638,-2.785953461,-53.017559,-0.025480272,53.017559
Ag279Au30,279,30,0.558139535,-2.782687791,-53.092594,-0.024744959,53.092594
Ag280Au29,280,29,0.571059432,-2.77942212,-53.167922,-0.024009645,53.167922
Ag281Au28,281,28,0.583979328,-2.776156449,-53.242167,-0.023274332,53.242167
Ag282Au27,282,27,0.596899225,-2.772890778,-53.317423,-0.022539019,53.317423
Ag283Au26,283,26,0.609819121,-2.769625107,-53.392605,-0.021803706,53.392605
Ag284Au25,284,25,0.622739018,-2.766359436,-53.468225,-0.021068393,53.468225
Ag285Au24,285,24,0.635658915,-2.763093765,-53.543858,-0.02033308,53.543858
Ag286Au23,286,23,0.651162791,-2.759527827,-53.608542,-0.019297499,53.608542
Ag287Au22,287,22,0.666666667,-2.755961888,-53.674143,-0.018261918,53.674143
Ag288Au21,288,21,0.679586563,-2.752526411,-53.746402,-0.017356798,53.746402
Ag289Au20,289,20,0.695090439,-2.748960472,-53.81303,-0.016321218,53.81303
Ag290Au19,290,19,0.710594315,-2.745394534,-53.879486,-0.015285637,53.879486
Ag291Au18,291,18,0.728682171,-2.741698134,-53.93944,-0.014119595,53.93944
Ag292Au17,292,17,0.744186047,-2.738132195,-54.010084,-0.013084014,54.010084
Ag293Au16,293,16,0.754521964,-2.734827179,-54.086464,-0.012309356,54.086464
Ag294Au15,294,15,0.76744186,-2.731391702,-54.176298,-0.011404236,54.176298
Ag295Au14,295,14,0.782945736,-2.727825763,-54.279109,-0.010368655,54.279109
Ag296Au13,296,13,0.798449612,-2.724259825,-54.3590266,-0.009333075,54.3590266
Ag297Au12,297,12,0.813953488,-2.720693886,-54.48545771,-0.008297494,54.48545771
Ag298Au11,298,11,0.829457364,-2.717472071,-54.615306,-0.007606036,54.615306
